vid,title,category,embed,thumbnail,channel,tag
wQA_UtxzHMQ,Cyber Security Tutorial 20:  Online Shopping,Security,"<iframe src=""https://www.youtube.com/embed/wQA_UtxzHMQ&t=19s"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/wQA_UtxzHMQ&t=19s/hqdefault.jpg,Geek's Lesson,
VorY4c3yvB4,Cyber Security Tutorial 19:   Safely Navigating the Web,Security,"<iframe src=""https://www.youtube.com/embed/VorY4c3yvB4"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/VorY4c3yvB4/hqdefault.jpg,Geek's Lesson,
WZAU6dYv8K8,Cyber Security Tutorial 18:  How Web Browsing works,Security,"<iframe src=""https://www.youtube.com/embed/WZAU6dYv8K8"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/WZAU6dYv8K8/hqdefault.jpg,Geek's Lesson,
_H0NyEFYBJY,Cyber Security Tutorial 17 -  Layers of Defense Against Malware 2,Security,"<iframe src=""https://www.youtube.com/embed/_H0NyEFYBJY"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/_H0NyEFYBJY/hqdefault.jpg,Geek's Lesson,
GmmfcxnCniU,Cyber Security Tutorial 16:  Sources of Malware,Security,"<iframe src=""https://www.youtube.com/embed/GmmfcxnCniU"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/GmmfcxnCniU/hqdefault.jpg,Geek's Lesson,
UugbJ7d_QKc,Cyber Security Tutorial 15:  Functions of Malware,Security,"<iframe src=""https://www.youtube.com/embed/UugbJ7d_QKc"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/UugbJ7d_QKc/hqdefault.jpg,Geek's Lesson,
qu7K-9hM7HA,Cyber Security Tutorial 14 -   Varieties of Malware,Security,"<iframe src=""https://www.youtube.com/embed/qu7K-9hM7HA"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/qu7K-9hM7HA/hqdefault.jpg,Geek's Lesson,
W1xJYZ7MaTo,Cyber Security Tutorial 13 -    Email Security,Security,"<iframe src=""https://www.youtube.com/embed/W1xJYZ7MaTo"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/W1xJYZ7MaTo/hqdefault.jpg,Geek's Lesson,
slHmtfpS77s,Cyber Security Tutorial 12 -    How Email Works 2,Security,"<iframe src=""https://www.youtube.com/embed/slHmtfpS77s&t=25s"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/slHmtfpS77s&t=25s/hqdefault.jpg,Geek's Lesson,
U936jp-oYNo,Cyber Security Tutorial 11 -    Managing Passwords 2,Security,"<iframe src=""https://www.youtube.com/embed/U936jp-oYNo"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/U936jp-oYNo/hqdefault.jpg,Geek's Lesson,
UBhSlWzXirQ,Cyber Security Tutorial 10 -   Creating Strong Passwords 2,Security,"<iframe src=""https://www.youtube.com/embed/UBhSlWzXirQ"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/UBhSlWzXirQ/hqdefault.jpg,Geek's Lesson,
8XdJHe1jPuE,Cyber Security Tutorial 9 -   Common Password Threats,Security,"<iframe src=""https://www.youtube.com/embed/8XdJHe1jPuE"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/8XdJHe1jPuE/hqdefault.jpg,Geek's Lesson,
5ulvfoOVYXw,Cyber Security Tutorial 8 -  Passwords and Hash Functions,Security,"<iframe src=""https://www.youtube.com/embed/5ulvfoOVYXw"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/5ulvfoOVYXw/hqdefault.jpg,Geek's Lesson,
IYTPt8-9_7s,Cyber Security Tutorial 7 -   Demystifying the Internet Part 3,Security,"<iframe src=""https://www.youtube.com/embed/IYTPt8-9_7s"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/IYTPt8-9_7s/hqdefault.jpg,Geek's Lesson,
